category,location,years,value,sea
민어,경기도,1970,185,기타
민어,충청남도,1970,209,기타
민어,전라북도,1970,16,기타
민어,전라남도,1970,609,기타
민어,경상남도,1970,130,기타
민어,제주도,1970,63,기타
방어류,부산광역시,1970,123,동해
방어류,경기도,1970,28,기타
방어류,강원도,1970,314,동해
방어류,충청남도,1970,0,기타
방어류,전라북도,1970,0,기타
방어류,전라남도,1970,20,기타
방어류,경상북도,1970,1015,동해
방어류,경상남도,1970,116,기타
방어류,제주도,1970,102,기타
뱅어류,부산광역시,1970,0,동해
뱅어류,경기도,1970,22,기타
뱅어류,충청남도,1970,632,기타
뱅어류,전라남도,1970,1,기타
뱅어류,경상남도,1970,122,기타
병어류,부산광역시,1970,619,동해
병어류,경기도,1970,1462,기타
병어류,충청남도,1970,242,기타
병어류,전라북도,1970,1142.5,기타
병어류,전라남도,1970,1130,기타
병어류,경상북도,1970,0,동해
병어류,경상남도,1970,131,기타
보리멸,충청남도,1970,0,기타
보리멸,전라북도,1970,0,기타
보리멸,전라남도,1970,0,기타
보리멸,경상남도,1970,0,기타
복어류,부산광역시,1970,372,동해
복어류,경기도,1970,338,기타
복어류,강원도,1970,20,동해
복어류,충청남도,1970,198,기타
복어류,전라북도,1970,277,기타
복어류,전라남도,1970,356,기타
복어류,경상북도,1970,8,동해
복어류,경상남도,1970,2526,기타
복어류,제주도,1970,1,기타
기타볼락류,부산광역시,1970,9,동해
기타볼락류,경기도,1970,41,기타
기타볼락류,강원도,1970,241,동해
기타볼락류,충청남도,1970,85,기타
기타볼락류,전라북도,1970,0,기타
기타볼락류,전라남도,1970,362,기타
기타볼락류,경상북도,1970,5,동해
기타볼락류,경상남도,1970,802,기타
기타볼락류,제주도,1970,3,기타
삼치류,부산광역시,1970,733,동해
삼치류,경기도,1970,125,기타
삼치류,강원도,1970,136,동해
삼치류,충청남도,1970,587,기타
삼치류,전라북도,1970,829,기타
삼치류,전라남도,1970,1934,기타
삼치류,경상북도,1970,53,동해
삼치류,경상남도,1970,517,기타
삼치류,제주도,1970,362,기타
상어류,부산광역시,1970,6310,동해
상어류,경기도,1970,8,기타
상어류,강원도,1970,6,동해
상어류,충청남도,1970,304,기타
상어류,전라북도,1970,43,기타
상어류,전라남도,1970,463,기타
상어류,경상북도,1970,154,동해
상어류,경상남도,1970,1248,기타
상어류,제주도,1970,44,기타
서대류,부산광역시,1970,616,동해
서대류,경기도,1970,119,기타
서대류,충청남도,1970,396,기타
서대류,전라북도,1970,68,기타
서대류,전라남도,1970,721,기타
서대류,경상남도,1970,648,기타
성대류,부산광역시,1970,236,동해
성대류,경기도,1970,0,기타
성대류,충청남도,1970,2,기타
성대류,전라북도,1970,0,기타
성대류,전라남도,1970,0,기타
성대류,경상남도,1970,35,기타
송어류,부산광역시,1970,5,동해
송어류,강원도,1970,29,동해
송어류,충청남도,1970,0,기타
송어류,전라북도,1970,0,기타
송어류,전라남도,1970,37,기타
송어류,경상북도,1970,12,동해
숭어류,부산광역시,1970,251,동해
숭어류,경기도,1970,78,기타
숭어류,강원도,1970,3,동해
숭어류,충청남도,1970,702,기타
숭어류,전라북도,1970,31,기타
숭어류,전라남도,1970,837,기타
숭어류,경상북도,1970,0,동해
숭어류,경상남도,1970,838,기타
숭어류,제주도,1970,2,기타
양미리,부산광역시,1970,0,동해
양미리,경기도,1970,290,기타
양미리,강원도,1970,1347,동해
양미리,충청남도,1970,44,기타
양미리,전라북도,1970,0,기타
양미리,전라남도,1970,0,기타
양미리,경상북도,1970,58,동해
양미리,경상남도,1970,5299,기타
양태류,부산광역시,1970,119,동해
양태류,경기도,1970,0,기타
양태류,충청남도,1970,14,기타
양태류,전라북도,1970,34,기타
양태류,전라남도,1970,709,기타
양태류,경상남도,1970,746,기타
임연수어,강원도,1970,0,동해
임연수어,전라북도,1970,0,기타
임연수어,전라남도,1970,0,기타
임연수어,경상북도,1970,0,동해
갯장어,부산광역시,1970,0,동해
